spec	feature	active
S8	Primary outcome	FALSE
S8	Province clustered	TRUE
S8	Province resampling	FALSE
S8	Province trends	FALSE
S8	Strict outcome	FALSE
S9	Adjusted respondent weight	FALSE
S9	Age 45+	FALSE
S9	Age 60+	TRUE
S9	Bed density	TRUE
S9	Broader outcome	FALSE
S9	Concurrent	TRUE
S9	Full adjustment	TRUE
S9	Individual FE	FALSE
S9	Lagged	FALSE
S9	Minimal adjustment	FALSE
S9	Mundlak	FALSE
S9	No income covariate	FALSE
S9	Physician density	FALSE
S9	Primary outcome	TRUE
S9	Province clustered	FALSE
S9	Province resampling	TRUE
S9	Province trends	FALSE
S9	Strict outcome	FALSE
S10	Adjusted respondent weight	TRUE
S10	Age 45+	FALSE
S10	Age 60+	TRUE
S10	Bed density	TRUE
S10	Broader outcome	FALSE
S10	Concurrent	TRUE
S10	Full adjustment	TRUE
S10	Individual FE	FALSE
S10	Lagged	FALSE
S10	Minimal adjustment	FALSE
S10	Mundlak	FALSE
S10	No income covariate	FALSE
S10	Physician density	FALSE
S10	Primary outcome	TRUE
S10	Province clustered	FALSE
S10	Province resampling	FALSE
S10	Province trends	FALSE
S10	Strict outcome	FALSE
S11	Adjusted respondent weight	FALSE
S11	Age 45+	FALSE
S11	Age 60+	TRUE
S11	Bed density	TRUE
S11	Broader outcome	FALSE
S11	Concurrent	TRUE
S11	Full adjustment	FALSE
S11	Individual FE	TRUE
S11	Lagged	FALSE
S11	Minimal adjustment	FALSE
S11	Mundlak	FALSE
S11	No income covariate	FALSE
S11	Physician density	FALSE
S11	Primary outcome	TRUE
S11	Province clustered	TRUE
S11	Province resampling	FALSE
S11	Province trends	FALSE
S11	Strict outcome	FALSE
S12	Adjusted respondent weight	FALSE
S12	Age 45+	FALSE
S12	Age 60+	TRUE
S12	Bed density	TRUE
S12	Broader outcome	FALSE
S12	Concurrent	TRUE
S12	Full adjustment	FALSE
S12	Individual FE	FALSE
S12	Lagged	FALSE
S12	Minimal adjustment	FALSE
S12	Mundlak	TRUE
S12	No income covariate	FALSE
S12	Physician density	FALSE
S12	Primary outcome	TRUE
S12	Province clustered	TRUE
S12	Province resampling	FALSE
S12	Province trends	FALSE
S12	Strict outcome	FALSE
S13	Adjusted respondent weight	FALSE
S13	Age 45+	FALSE
S13	Age 60+	TRUE
S13	Bed density	TRUE
S13	Broader outcome	FALSE
S13	Concurrent	TRUE
S13	Full adjustment	FALSE
S13	Individual FE	FALSE
S13	Lagged	FALSE
S13	Minimal adjustment	FALSE
S13	Mundlak	FALSE
S13	No income covariate	FALSE
S13	Physician density	FALSE
S13	Primary outcome	TRUE
S13	Province clustered	TRUE
S13	Province resampling	FALSE
S13	Province trends	TRUE
S13	Strict outcome	FALSE
