variable_1	variable_2	raw_correlation	within_province_correlation	two_way_fe_residual_correlation	n_province_years
value_per_10000_population_hospital_beds	log_gdp_per_capita_current_yuan	0.49099261741717576	0.9289842362689757	0.23314419595038005	124
value_per_10000_population_hospital_beds	population_age_65_plus_percent	0.4308280842333225	0.8272721159318008	0.101440853473479	124
value_per_10000_population_hospital_beds	urban_population_percent	0.3813753341262652	0.9340482510321618	0.492082026115925	124
value_per_10000_population_hospital_beds	value_per_10000_population_comprehensive_hospital_beds	0.9357725442583026	0.9871308900729009	0.9061192571093414	124
value_per_10000_population_hospital_beds	value_per_10000_population_hospital_beds	0.9999999999999998	0.9999999999999999	1	124
value_per_10000_population_hospital_beds	value_per_10000_population_tcm_hospital_beds	0.784075655702611	0.9426129700619035	0.5539347404385886	124
value_per_10000_population_hospital_beds	value_per_10000_population_tcm_physicians	0.5492949750632333	0.9000200286022161	0.04934952375766238	124
value_per_10000_population_tcm_hospital_beds	log_gdp_per_capita_current_yuan	0.3217485099331112	0.8598904698839299	-0.05746865028510086	124
value_per_10000_population_tcm_hospital_beds	population_age_65_plus_percent	0.3170176645554409	0.7560124297040326	-0.08271455505057727	124
value_per_10000_population_tcm_hospital_beds	urban_population_percent	0.15618732974277225	0.8655243262492228	0.1683771248490759	124
value_per_10000_population_tcm_hospital_beds	value_per_10000_population_comprehensive_hospital_beds	0.7104921490109521	0.9059640349680689	0.325748672557238	124
value_per_10000_population_tcm_hospital_beds	value_per_10000_population_hospital_beds	0.784075655702611	0.9426129700619035	0.5539347404385886	124
value_per_10000_population_tcm_hospital_beds	value_per_10000_population_tcm_hospital_beds	1	1	0.9999999999999998	124
value_per_10000_population_tcm_hospital_beds	value_per_10000_population_tcm_physicians	0.7302229173861078	0.9130548693307475	0.42751120540891935	124
value_per_10000_population_tcm_physicians	log_gdp_per_capita_current_yuan	0.513105000140613	0.877156538751094	9.616519095176685e-4	124
value_per_10000_population_tcm_physicians	population_age_65_plus_percent	0.2678364818402272	0.7699776035611371	-0.10440941478795705	124
value_per_10000_population_tcm_physicians	urban_population_percent	0.38496341341955626	0.8386796495796695	-0.09525082448874736	124
value_per_10000_population_tcm_physicians	value_per_10000_population_comprehensive_hospital_beds	0.37156060213493947	0.8601379860517194	-0.07353985959922141	124
value_per_10000_population_tcm_physicians	value_per_10000_population_hospital_beds	0.5492949750632333	0.9000200286022161	0.04934952375766238	124
value_per_10000_population_tcm_physicians	value_per_10000_population_tcm_hospital_beds	0.7302229173861078	0.9130548693307475	0.42751120540891935	124
value_per_10000_population_tcm_physicians	value_per_10000_population_tcm_physicians	1	1	1	124
