province	year	source	source_name	source_url	source_edition	table_id	table_title	extraction_status	quality_flag	resource_definition	denominator_population	denominator_unit	denominator_source_id	denominator_notes	value_tcm_hospital_beds	value_tcm_practicing_assistant_physicians	value_per_10000_population_tcm_hospital_beds	value_per_10000_population_tcm_practicing_assistant_physicians	rank_tcm_hospital_beds_per_10000	rank_tcm_practicing_assistant_physicians_per_10000	unit_tcm_hospital_beds	unit_tcm_practicing_assistant_physicians	notes
湖北省	2011	natcm_2011_extract_a86	National Administration of Traditional Chinese Medicine 2011 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/A86.xlsx	2011	A86	2011年各地区万人口中医类医院床位数及万人口全国中医执业(助理)医师数	official_excel_numeric_extracted	official_natcm_excel_parsed	TCM hospital beds and TCM practicing/assistant physicians per population.	57580000	persons	natcm_2011_extract_a86	NATCM table reports province population in 10,000 persons; converted to persons.	23160	11522	4.02	2	14	23	beds	persons	Official NATCM Excel table; main core-density supply exposure.
湖南省	2011	natcm_2011_extract_a86	National Administration of Traditional Chinese Medicine 2011 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/A86.xlsx	2011	A86	2011年各地区万人口中医类医院床位数及万人口全国中医执业(助理)医师数	official_excel_numeric_extracted	official_natcm_excel_parsed	TCM hospital beds and TCM practicing/assistant physicians per population.	65960000	persons	natcm_2011_extract_a86	NATCM table reports province population in 10,000 persons; converted to persons.	33428	14489	5.07	2.2	4	17	beds	persons	Official NATCM Excel table; main core-density supply exposure.
甘肃省	2011	natcm_2011_extract_a86	National Administration of Traditional Chinese Medicine 2011 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/A86.xlsx	2011	A86	2011年各地区万人口中医类医院床位数及万人口全国中医执业(助理)医师数	official_excel_numeric_extracted	official_natcm_excel_parsed	TCM hospital beds and TCM practicing/assistant physicians per population.	25640000	persons	natcm_2011_extract_a86	NATCM table reports province population in 10,000 persons; converted to persons.	12153	8294	4.74	3.23	7	6	beds	persons	Official NATCM Excel table; main core-density supply exposure.
福建省	2011	natcm_2011_extract_a86	National Administration of Traditional Chinese Medicine 2011 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/A86.xlsx	2011	A86	2011年各地区万人口中医类医院床位数及万人口全国中医执业(助理)医师数	official_excel_numeric_extracted	official_natcm_excel_parsed	TCM hospital beds and TCM practicing/assistant physicians per population.	37200000	persons	natcm_2011_extract_a86	NATCM table reports province population in 10,000 persons; converted to persons.	13885	9260	3.73	2.49	21	11	beds	persons	Official NATCM Excel table; main core-density supply exposure.
西藏自治区	2011	natcm_2011_extract_a86	National Administration of Traditional Chinese Medicine 2011 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/A86.xlsx	2011	A86	2011年各地区万人口中医类医院床位数及万人口全国中医执业(助理)医师数	official_excel_numeric_extracted	official_natcm_excel_parsed	TCM hospital beds and TCM practicing/assistant physicians per population.	3030000	persons	natcm_2011_extract_a86	NATCM table reports province population in 10,000 persons; converted to persons.	929	777	3.07	2.56	26	10	beds	persons	Official NATCM Excel table; main core-density supply exposure.
贵州省	2011	natcm_2011_extract_a86	National Administration of Traditional Chinese Medicine 2011 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/A86.xlsx	2011	A86	2011年各地区万人口中医类医院床位数及万人口全国中医执业(助理)医师数	official_excel_numeric_extracted	official_natcm_excel_parsed	TCM hospital beds and TCM practicing/assistant physicians per population.	34690000	persons	natcm_2011_extract_a86	NATCM table reports province population in 10,000 persons; converted to persons.	10142	5208	2.92	1.5	30	29	beds	persons	Official NATCM Excel table; main core-density supply exposure.
辽宁省	2011	natcm_2011_extract_a86	National Administration of Traditional Chinese Medicine 2011 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/A86.xlsx	2011	A86	2011年各地区万人口中医类医院床位数及万人口全国中医执业(助理)医师数	official_excel_numeric_extracted	official_natcm_excel_parsed	TCM hospital beds and TCM practicing/assistant physicians per population.	43830000	persons	natcm_2011_extract_a86	NATCM table reports province population in 10,000 persons; converted to persons.	17232	9329	3.93	2.13	16	19	beds	persons	Official NATCM Excel table; main core-density supply exposure.
重庆市	2011	natcm_2011_extract_a86	National Administration of Traditional Chinese Medicine 2011 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/A86.xlsx	2011	A86	2011年各地区万人口中医类医院床位数及万人口全国中医执业(助理)医师数	official_excel_numeric_extracted	official_natcm_excel_parsed	TCM hospital beds and TCM practicing/assistant physicians per population.	29190000	persons	natcm_2011_extract_a86	NATCM table reports province population in 10,000 persons; converted to persons.	10395	9651	3.56	3.31	23	5	beds	persons	Official NATCM Excel table; main core-density supply exposure.
陕西省	2011	natcm_2011_extract_a86	National Administration of Traditional Chinese Medicine 2011 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/A86.xlsx	2011	A86	2011年各地区万人口中医类医院床位数及万人口全国中医执业(助理)医师数	official_excel_numeric_extracted	official_natcm_excel_parsed	TCM hospital beds and TCM practicing/assistant physicians per population.	37430000	persons	natcm_2011_extract_a86	NATCM table reports province population in 10,000 persons; converted to persons.	17861	8862	4.77	2.37	6	13	beds	persons	Official NATCM Excel table; main core-density supply exposure.
青海省	2011	natcm_2011_extract_a86	National Administration of Traditional Chinese Medicine 2011 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/A86.xlsx	2011	A86	2011年各地区万人口中医类医院床位数及万人口全国中医执业(助理)医师数	official_excel_numeric_extracted	official_natcm_excel_parsed	TCM hospital beds and TCM practicing/assistant physicians per population.	5680000	persons	natcm_2011_extract_a86	NATCM table reports province population in 10,000 persons; converted to persons.	3040	1313	5.35	2.31	3	14	beds	persons	Official NATCM Excel table; main core-density supply exposure.
黑龙江省	2011	natcm_2011_extract_a86	National Administration of Traditional Chinese Medicine 2011 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/A86.xlsx	2011	A86	2011年各地区万人口中医类医院床位数及万人口全国中医执业(助理)医师数	official_excel_numeric_extracted	official_natcm_excel_parsed	TCM hospital beds and TCM practicing/assistant physicians per population.	38340000	persons	natcm_2011_extract_a86	NATCM table reports province population in 10,000 persons; converted to persons.	15054	7692	3.93	2.01	17	22	beds	persons	Official NATCM Excel table; main core-density supply exposure.
上海市	2013	natcm_2013_extract_a95	National Administration of Traditional Chinese Medicine 2013 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2013/A95.xls	2013	A95	2013年各地区万人口中医类医院床位数及万人口全国中医执业(助理)医师数	official_excel_numeric_extracted	official_natcm_excel_parsed	TCM hospital beds and TCM practicing/assistant physicians per population.	24150000	persons	natcm_2013_extract_a95	NATCM table reports province population in 10,000 persons; converted to persons.	8675	6368	3.5921325051759836	2.6368530020703935	29	18	beds	persons	Official NATCM Excel table; main core-density supply exposure.
云南省	2013	natcm_2013_extract_a95	National Administration of Traditional Chinese Medicine 2013 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2013/A95.xls	2013	A95	2013年各地区万人口中医类医院床位数及万人口全国中医执业(助理)医师数	official_excel_numeric_extracted	official_natcm_excel_parsed	TCM hospital beds and TCM practicing/assistant physicians per population.	46870000	persons	natcm_2013_extract_a95	NATCM table reports province population in 10,000 persons; converted to persons.	22178	9155	4.731811393215276	1.9532750160017067	22	28	beds	persons	Official NATCM Excel table; main core-density supply exposure.
内蒙古自治区	2013	natcm_2013_extract_a95	National Administration of Traditional Chinese Medicine 2013 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2013/A95.xls	2013	A95	2013年各地区万人口中医类医院床位数及万人口全国中医执业(助理)医师数	official_excel_numeric_extracted	official_natcm_excel_parsed	TCM hospital beds and TCM practicing/assistant physicians per population.	24980000	persons	natcm_2013_extract_a95	NATCM table reports province population in 10,000 persons; converted to persons.	15254	10822	6.10648518815052	4.33226581265012	6	2	beds	persons	Official NATCM Excel table; main core-density supply exposure.
北京市	2013	natcm_2013_extract_a95	National Administration of Traditional Chinese Medicine 2013 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2013/A95.xls	2013	A95	2013年各地区万人口中医类医院床位数及万人口全国中医执业(助理)医师数	official_excel_numeric_extracted	official_natcm_excel_parsed	TCM hospital beds and TCM practicing/assistant physicians per population.	21150000	persons	natcm_2013_extract_a95	NATCM table reports province population in 10,000 persons; converted to persons.	17265	14033	8.163120567375886	6.634988179669031	1	1	beds	persons	Official NATCM Excel table; main core-density supply exposure.
